id, customer,placed_on,total_cost,total_tax,subtotal
1,4,2017-03-05 16:55:52,884.34,101.74,782.6
2,22,2015-09-05 10:20:52,972.4,111.87,860.53
3,19,2016-01-24 11:38:27,105.91,12.18,93.73
4,10,2016-04-25 10:43:25,647.2,74.46,572.74
5,4,2017-12-02 06:27:31,343.27,39.49,303.78
6,6,2016-10-04 06:48:12,503.86,57.97,445.89
7,11,2017-03-25 10:52:14,1061.92,122.17,939.75
8,31,2017-07-24 20:37:22,439.99,50.62,389.37
9,17,2015-01-15 17:52:33,948.16,109.08,839.08
10,30,2014-12-26 18:31:46,532.77,61.29,471.48
11,25,2014-05-11 14:16:06,383.1,44.07,339.03
12,14,2017-06-24 22:48:02,91.2,10.49,80.71
13,3,2018-01-07 08:08:18,3.29,0.38,2.91
14,30,2015-01-17 09:20:01,402.84,46.34,356.5
15,10,2017-12-02 17:07:12,1417.27,163.05,1254.22
16,10,2014-08-05 23:03:47,395.77,45.53,350.24
17,22,2015-08-10 23:54:46,480.44,55.27,425.17
18,11,2018-07-08 02:35:28,537.62,61.85,475.77
19,5,2014-09-12 01:08:06,646.64,74.39,572.25
20,30,2017-03-13 22:08:08,936.61,107.75,828.86
21,23,2016-08-11 06:25:35,182.79,21.03,161.76
22,18,2014-08-21 21:26:03,200.7,23.09,177.61
23,12,2018-01-27 09:36:01,220.32,25.35,194.97
24,8,2015-09-24 03:31:21,641.23,73.77,567.46
25,20,2017-10-14 10:04:09,655.35,75.39,579.96
26,22,2015-05-22 03:54:27,676.1,77.78,598.32
27,28,2015-07-19 22:17:30,835.91,96.17,739.74
28,20,2016-02-01 20:14:48,689.32,79.3,610.02
29,20,2017-10-06 09:21:19,120.93,13.91,107.02
30,3,2017-01-26 18:49:36,221.29,25.46,195.83
31,5,2015-06-07 21:43:14,439.56,50.57,388.99
32,15,2016-04-20 04:02:45,935.97,107.68,828.29
33,26,2016-08-21 23:45:53,543.74,62.55,481.19
34,3,2016-11-13 11:56:42,77.12,8.87,68.25
35,18,2014-08-24 22:17:17,410.81,47.26,363.55
36,29,2014-11-04 08:38:27,619.69,71.29,548.4
37,21,2016-01-24 17:31:50,352.53,40.56,311.97
38,18,2016-03-03 04:26:05,811.52,93.36,718.16
39,23,2017-04-06 07:56:26,404.02,46.48,357.54
40,9,2018-02-10 23:12:14,33.31,3.83,29.48
41,28,2016-01-17 23:54:58,631.82,72.69,559.13
42,4,2016-03-04 13:45:04,1191.55,137.08,1054.47
43,5,2015-08-08 19:16:39,396.31,45.59,350.72
44,23,2014-08-15 16:54:29,1062.69,122.26,940.43
45,4,2018-10-07 17:02:05,89.91,10.34,79.57
46,6,2014-01-25 07:27:13,95.04,10.93,84.11
47,27,2014-03-03 22:51:10,391.59,45.05,346.54
48,22,2014-04-16 14:31:36,1001.82,115.25,886.57
49,8,2015-11-12 07:36:29,1204.56,138.58,1065.98
50,8,2015-01-01 09:17:13,219.38,25.24,194.14
51,23,2018-11-02 05:48:49,855.57,98.43,757.14
52,22,2014-03-15 03:28:42,164.23,18.89,145.34
53,9,2018-12-12 12:13:32,1593.89,183.37,1410.52
54,24,2016-03-16 10:44:15,373.83,43.01,330.82
55,13,2018-05-13 17:08:40,717.73,82.57,635.16
56,9,2014-02-02 13:09:03,421.34,48.47,372.87
57,23,2017-11-08 05:38:13,483.93,55.67,428.26
58,15,2014-01-22 08:23:25,458.38,52.73,405.65
59,10,2014-12-08 15:57:44,162.51,18.7,143.81
60,7,2016-09-22 14:32:34,1007.63,115.92,891.71
61,27,2017-03-22 23:17:49,228.59,26.3,202.29
62,27,2017-10-18 23:37:36,595.62,68.52,527.1
63,31,2017-01-26 09:09:47,622.52,71.62,550.9
64,3,2018-02-06 01:14:53,887.62,102.12,785.5
65,27,2015-10-16 12:26:47,647.05,74.44,572.61
66,29,2015-12-10 09:47:48,522.5,60.11,462.39
67,17,2018-09-13 06:18:24,1344.01,154.62,1189.39
68,14,2018-04-23 23:43:09,1310.49,150.76,1159.73
69,11,2018-02-07 02:44:19,317.29,36.5,280.79
70,4,2016-09-20 12:01:55,646.08,74.33,571.75
71,8,2016-12-08 05:51:11,307.74,35.4,272.34
72,1,2016-11-11 08:19:47,192.26,22.12,170.14
73,10,2016-09-20 01:32:38,43.09,4.96,38.13
74,4,2017-07-17 03:20:39,82.22,9.46,72.76
75,18,2015-02-03 05:28:14,877.12,100.91,776.21
76,5,2016-11-21 06:01:58,510.51,58.73,451.78
77,1,2014-02-19 10:13:51,586.7,67.5,519.2
78,21,2014-04-19 15:27:33,396.98,45.67,351.31
79,12,2015-02-24 10:21:20,1588.45,182.74,1405.71
