id,merchant,name,description,price,sku
1,2,Large table,A great table,102.12,8437152631
2,11,Cotton t-shirt,100% cotton t-shirt,11.99,1437367336
3,3,Wool coat,Sturdy 100% wool,400.5,3977592277
4,4,See-through corded telephone,NULL,26.78,8241503020
5,3,V-neck t-shirt,100% cotton,10,4556771762
6,1,Metal bowl,NULL,10,4830438712
7,8,Ceramic coffee mug,NULL,7.99,3843040389
8,4,Plastic shower curtain,NULL,14.99,3940380103
9,9,Down comforter,NULL,114.56,5039188995
10,7,Checkered curtains,NULL,80,8785997553
11,7,Stainless steel flower pot,NULL,5,8213484755
12,3,Instant camera,Connect to your laptop for great photos!,20.99,9043625760
13,1,Paper gift bag,Great for gifts,0.99,7231194661
14,8,Custom hockey stick,NULL,100,2506608071
15,2,Organic honey,Made by Ontario bees,15.99,7983594474
16,2,Colourful pillow,Cotton and wool blend,20,7664442667
17,10,Cotton comforter cover,NULL,34.99,9685094066
18,12,Plastic cutlery set,NULL,2.5,8719210456
19,15,Paper mache light fixture,NULL,45,3381585417
20,15,Copper string of decorative lights,NULL,25,1210456116
21,11,Salt & pepper shakers,NULL,14.3,3971021509
22,1,Glass artwork,Hand-crafted,105.34,8665262260
23,8,Knitted sweater,NULL,55,7361392956
24,10,Pine shelf,NULL,15,1829506701
25,7,Wooden snowshoes,NULL,85,5229028739
26,5,Metal picture frame,NULL,8.99,2325644916
27,3,Silk throw,Locally hand-made,52.5,6611864690
28,14,Wooden pepper mill,NULL,30,6045730261
29,13,Stainless steel grater,NULL,9.99,7956074873
30,3,Waterproof boots,NULL,120.45,4592419511
31,11,Wooden stirring spoon,NULL,8.77,3664907674
32,15,Small hand-woven rug,NULL,130.55,1956902288
33,10,Premium saucepan,NULL,90,9713712587
34,8,Antique-look sidetable,NULL,120.34,2196185321
35,6,Gold pendant,NULL,75.6,5965873730
36,6,Sterling silver braclet,NULL,35,7520888604
37,4,Wooden bowl,NULL,10,6157903980
38,12,Wooden chopping board,NULL,12.54,7236195117
